Alternatives,C1 Real GDP CAGR (%),C2 Median Household Income (RM),C3 Gini Coefficient,C4 Absolute Poverty Rate (%),C5 Expenditure / Income Ratio,D+ (PIS),D- (NIS),D_avg (AS),Utility Score,Rank
A10: Selangor,8.63186,9983,0.36123,1.5,0.55342,0.14162431696392686,0.46704362111063324,0.21148150082058786,-0.02848445083152963,1
A14: W.P. Kuala Lumpur,6.47948,10234,0.3796,1.4,0.58709,0.1944633626400851,0.43223061030973153,0.19300744634033648,-0.011189950332327489,2
A1: Johor,6.26569,6879,0.36646,4.6,0.62722,0.22241152980012735,0.31078290226614724,0.0621597469966591,-0.006552906367340199,4
A7: Pulau Pinang,8.15816,6502,0.37058,2.0,0.64376,0.21825090792717416,0.37419679887309965,0.12689059645605633,-0.007263823622467289,3
A15: W.P. Labuan,2.99767,6904,0.30028,2.5,0.50618,0.25209148073106485,0.3734794508403625,0.16652150920292072,0.01128338477340577,7
A4: Melaka,5.87203,6210,0.36963,4.2,0.70833,0.25123955062438325,0.29166438355298335,0.04762434418246646,0.0017998778134665876,5
A6: Pahang,8.23054,4753,0.3077,6.3,0.71092,0.23458478130499605,0.3638678037498671,0.1594889791668835,0.007551489180503114,6
A11: Terengganu,4.12307,5878,0.32631,6.2,0.6617,0.2556442207874731,0.2873927318073255,0.07950731362930878,0.011939700652364101,8
A9: Perlis,3.98178,4713,0.33589,4.0,0.67691,0.29519310062259346,0.2865835679469761,0.08648170669092066,0.023772809841634508,9
A5: Negeri Sembilan,4.1784,5226,0.36853,4.4,0.68916,0.3078240425734007,0.25626664504563634,0.05629792652972835,0.02696383101437317,10
A2: Kedah,4.40462,4402,0.35938,9.0,0.67838,0.33634568653368097,0.1980645017605991,0.07423118133741409,0.05312809152762399,11
A8: Perak,3.61328,4494,0.36769,7.5,0.67538,0.35039253999915143,0.20419160119019228,0.08107605818647404,0.0568192492488583,12
A13: Sarawak,4.00725,4978,0.3818,10.8,0.60632,0.363927565073311,0.15852270842792698,0.09499901040609096,0.07510096676286873,13
A3: Kelantan,3.55579,3614,0.3854,13.2,0.7175,0.4327119208335161,0.10662826136129282,0.15332199555162893,0.11985141375596306,14
A12: Sabah,2.62183,4577,0.39491,19.7,0.54157,0.4936517752819451,0.04062528861532619,0.22981714841770456,0.17071090877108086,15
