Country,Climate Change Mitigation,Air quality,Air pollution,Sanitation & Drinking Water,Heavy Metals,Solid waste
Singapore,41.2,53.7,81.8,99.2,82.5,75.5
South Korea,47.0,44.5,87.3,90.1,89.4,64.7
Japan,59.7,59.9,86.4,78.1,100.0,73.6
Brunei Darussalam,29.2,68.6,41.9,87.2,68.8,35.0
China,39.8,14.3,87.3,73.9,42.9,43.3
Malaysia,39.9,43.2,60.7,53.5,54.9,35.4
Mongolia,17.6,17.7,48.2,61.4,45.4,12.3
Fiji,51.1,61.5,70.7,36.1,63.3,44.7
Marshall Islands,41.0,63.2,83.0,36.6,47.7,36.4
Taiwan,48.4,40.1,86.5,69.0,75.7,69.7
Indonesia,32.1,22.7,46.2,33.2,33.4,26.7
Tonga,32.5,60.2,70.4,49.7,77.9,32.0
Micronesia,44.4,64.8,76.6,39.4,49.4,21.8
Thailand,46.0,25.4,75.8,51.3,79.3,33.6
Laos,9.6,13.6,16.2,32.2,25.2,42.6
Kiribati,41.9,54.4,81.1,21.6,54.0,18.8
Timor-Leste,65.2,38.2,67.0,33.1,27.2,39.7
Vanuatu,53.7,57.5,73.5,32.4,38.0,21.9
Samoa,51.3,57.8,75.2,56.7,61.9,55.7
Vietnam,17.9,15.4,7.5,53.5,46.9,46.1
Myanmar,35.6,9.0,12.5,35.4,32.7,34.7
Cambodia,16.7,18.1,14.5,40.0,32.3,36.3
Philipines,32.2,22.7,39.7,42.4,45.2,30.0
Solomon Islands,52.8,59.9,83.0,33.6,32.0,19.4
Papua New Guinea,37.7,39.8,68.2,21.2,55.4,36.8
